"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-06-07,"g50-59","Mujer",18.1,1699,2.2,14,"2021-07-15",3,0,0,0,54,0,5067031
2020-06-07,"g60-69","Mujer",13.4,1263,6.7,43,"2021-07-15",0,0,0,0,51,0,5067031
2020-06-07,"g70-79","Mujer",11,1036,19.4,125,"2021-07-15",3,0,0,0,43,1,5067031
2020-06-07,"g80-89","Mujer",12.7,1193,45.1,291,"2021-07-15",2,0,0,0,20,1,5067031
2020-06-07,"g90 o mas","Mujer",6.4,602,25.7,166,"2021-07-15",1,0,0,0,4,3,5067031
2020-06-08,"g0-9","Hombre",1.1,82,0,0,"",1,0,0,0,13,0,5067031
2020-06-08,"g10-19","Hombre",1.5,110,0,0,"",1,0,0,0,14,0,5067031
2020-06-08,"g20-29","Hombre",5.4,399,0.1,1,"",1,0,0,0,25,0,5067031
2020-06-08,"g30-39","Hombre",10.9,808,0.7,6,"",2,0,0,0,39,0,5067031
2020-06-08,"g40-49","Hombre",15.8,1178,0.9,7,"",18,0,0,0,63,0,5067031
2020-06-08,"g50-59","Hombre",17.6,1308,3.4,27,"",10,0,0,0,64,0,5067031
2020-06-08,"g60-69","Hombre",17.6,1305,13.7,110,"",6,1,0,0,32,3,5067031
2020-06-08,"g70-79","Hombre",15.8,1178,32.9,264,"",3,2,0,0,28,4,5067031
2020-06-08,"g80-89","Hombre",11.4,844,36.4,292,"",0,0,0,0,14,3,5067031
2020-06-08,"g90 o mas","Hombre",3,221,11.8,95,"",0,0,0,0,0,0,5067031
2020-06-08,"g0-9","Mujer",0.7,70,0,0,"2021-07-15",0,0,0,0,11,0,5067031
2020-06-08,"g10-19","Mujer",1.4,132,0.2,1,"2021-07-15",4,0,0,0,20,0,5067031
2020-06-08,"g20-29","Mujer",7.7,723,0,0,"2021-07-15",6,0,0,0,42,0,5067031
2020-06-08,"g30-39","Mujer",12.2,1153,0.2,1,"2021-07-15",5,0,0,0,53,0,5067031
2020-06-08,"g40-49","Mujer",16.4,1547,0.6,4,"2021-07-15",9,0,0,0,76,0,5067031
